"Instance Name","Reference Designator"
"Inst1","R1"
"Inst2","C3"
"Inst3","R4"
"Inst4(1)","C1"
"Inst4(2)","C2"
"Inst4(3)","C3"
"Inst4(4)","C4"
"SubInst1.Inst1","A.R1"
"SubInst1.Inst2","A.C1"
"SubInst1.Inst3","A.C3"
"SubInst2.Inst1","R2"
"SubInst2.Inst2(5)","R3"
"SubInst2.Inst2(4)","R5"
"SubInst2.Inst2(3)","R6"
"SubInst2.Inst2(2)","R7"
"SubInst2.Inst2(1)","R8"
"SubInst2.Inst3","C5"
"SubInst3.SubInst4.Inst1","B.C.R1"
"SubInst3.SubInst4.Inst2","B.C.C1"
"SubInst5(1).Inst1","X1.R1"
"SubInst5(1).Inst2","X1.D1"
"SubInst5(1).Inst3","X1.R2"
"SubInst5(2).Inst1","X4.R1"
"SubInst5(2).Inst2","X4.D1"
"SubInst5(2).Inst3","X4.R2"
"SubInst5(3).Inst1","X2.R1"
"SubInst5(3).Inst2","X2.D1"
"SubInst5(3).Inst3","X2.R2"
